machineid;timestamp;isdisturbed
G352-2188;2020-07-01 16:24:08.286+00;False
G352-2188;2020-07-01 16:24:23.942+00;True
G352-2188;2020-07-01 16:25:09.91+00;False
G352-2188;2020-07-01 16:27:12.987+00;True
G352-2188;2020-07-01 16:27:58.565+00;False
G352-2188;2020-07-01 17:03:27.64+00;True
G352-2188;2020-07-01 17:05:13.155+00;False
G352-2188;2020-07-01 17:10:47.543+00;True
G352-2188;2020-07-01 17:13:33.557+00;False
G352-2188;2020-07-01 17:15:34.54+00;True
G352-2188;2020-07-01 17:16:05.024+00;False
G352-2188;2020-07-01 17:52:25.99+00;True
